dimension,condition,beta,sample_size,seed,control,scale,generator_error,vector_field_cosine,orbit_shape_error,frequency_error,trajectory_error
2,1.5,1.0,2000,18,random_SPD_matched_spectrum,0.9803941756489235,0.2689505467550402,0.9789685487644115,0.10254621210846492,0.03797898263130323,0.08413149171163976
2,1.5,1.0,2000,18,PCA_rank_matched,1.1096839823347733,0.2072811940556994,0.9853089467526023,0.08570604776618061,0.15552678289217411,0.06613504802838165
2,1.5,1.0,2000,18,unknown_symplectic_structure,0.0,1.0,,,,0.3159673422408389
2,1.5,1.0,2000,19,diagonal_only,1.052760836222203,0.038943993676157945,0.9996329174946555,0.013547739762492645,0.011460680164165734,0.01221856080514616
2,1.5,1.0,2000,19,coordinate_shuffled,1.051837609842707,0.030687849485438276,0.9997147225979865,0.011943144519206772,0.010973559745041958,0.00964562630087967
2,1.5,1.0,2000,19,random_SPD_matched_spectrum,1.0371217722735444,0.16941380476962523,0.991019000460125,0.06701119137828787,0.0031705653106788405,0.05295134839013456
2,1.5,1.0,2000,19,PCA_rank_matched,1.1696736444119997,0.19339072854406059,0.9874906209823417,0.07908659500085453,0.14042214974113518,0.06164281395104072
2,1.5,1.0,2000,19,unknown_symplectic_structure,0.9999999999999999,2.1169531955458622e-17,,,,0.0
2,1.5,1.0,2000,20,diagonal_only,0.982891557216521,0.029518935185838084,0.9997720184939256,0.01067664521454498,0.0007835375722203255,0.009226471853974112
2,1.5,1.0,2000,20,coordinate_shuffled,0.9066935517907816,0.3832179307861545,0.9574401734710514,0.14587636293956033,0.0777053135390441,0.11997441036426083
2,1.5,1.0,2000,20,random_SPD_matched_spectrum,0.9267942082106294,0.32955981490606523,0.9700672017758553,0.12233723518239395,0.05725879268997869,0.10313279908154462
2,1.5,1.0,2000,20,PCA_rank_matched,1.0697091531963767,0.2075948473748828,0.9828569887658969,0.09258242607024054,0.15586761475129232,0.0662364493330779
2,1.5,1.0,2000,20,unknown_symplectic_structure,1.0,5.443316218272765e-18,,,,0.0
2,1.5,1.0,2000,21,diagonal_only,0.9875671279991225,0.13508085803046133,0.9952480813328319,0.0487438132852163,0.0129944928453769,0.04223703266305971
2,1.5,1.0,2000,21,coordinate_shuffled,0.9191163077956566,0.27239169892361614,0.9780167070409295,0.1048410534072186,0.04348495306054046,0.0852273027440647
2,1.5,1.0,2000,21,random_SPD_matched_spectrum,0.9097254695673853,0.30499000292994705,0.9757247314846127,0.11017093199975064,0.053257903439647834,0.09544560132244931
2,1.5,1.0,2000,21,PCA_rank_matched,1.0341115972784056,0.21552562499593236,0.9839521348035043,0.08957640648210795,0.1614540643767944,0.0687523538768155
2,1.5,1.0,2000,21,unknown_symplectic_structure,0.0,1.0,,,,0.31596734224083906
2,1.5,1.0,2000,22,diagonal_only,1.015550465914726,0.13332353107461103,0.9950003101844844,0.049998449053523554,0.011895338558728511,0.041685149530605266
2,1.5,1.0,2000,22,coordinate_shuffled,0.9933876116944762,0.010744065343590552,0.9999696271364041,0.003896977264229491,0.00028572447437371284,0.0033581777465641624
2,1.5,1.0,2000,22,random_SPD_matched_spectrum,0.9730737273511287,0.20147158572955293,0.9887256398419318,0.07508115661758293,0.02016922007905556,0.06299731012052137
